,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
191,"informerat samtycke
",aktivt samtycke,,,,,,,,,,"tillstånd att utföra hälso- och sjukvårdsaktiviteter (7.2), som frivilligt ges av en patient (5.2.1) som har samtyckesförmåga, eller av patientens representant, efter att tillståndsgivaren har fått information om syftet med och de möjliga resultaten av hälso- och sjukvårdsaktiviteterna

Alternativ definition  
frivillig, särskild och otvetydig viljeyttring genom vilken en person som tillfrågats om något, efter att ha fått information, godtar det frågan gäller (Socialstyrelsen termbank)",,Klar,2019-12-10,Contsys SE,"Anmärkning 1 Samtycke är avgörande för om en hälso- och sjukvårdsaktivitet får utföras eller inte (såvida inte bestämmelser i lag tar över kravet på samtycke). Samtycket måste ses i proportion till aktivitetens art och dignitet. Det ska t.ex. inte behövas ett dokumenterat informationsförfarande följt av viljeyttrat samtycke när hjärtat ska avlyssnas med stetoskop. Samtycket får då anses presumerat. Ett kirurgiskt ingrepp som är förenat med risk för komplikationer bör inte utföras utan noggrann information till patienten och ett uttryckligt samtycke som ska dokumenteras. 

",,,
192,nekat samtycke,,,,,,,,,,,nekande till att tillåta att specifika hälso- och sjukvårdsaktiviteter (7.2) utförs,,Klar,2019-12-10,Contsys SE,,,,
193,samtyckesförmåga,,,,,,,,,,,"förmåga hos patienten (5.2.1) och/eller patientens representant (5.2.4.3) att ge informerat samtycke (11.2.6) eller uttala misstycke (11.2.7)

Alternativ definition   
förmåga hos patient att ge samtycke (FVM; 3R Contsys reviderad)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1   Om en patient inte har förmåga att själv ta ställning till samtycke kan bemyndigande enligt lag träda i samtyckets ställe. Brist på förmågan leder oftare till att företrädare (patientens representant) behöver utses med eget mandat. 

",,,
194,behörighet enligt lag,,,,,,,,,,,"bestämmelse i lagstiftningen som under vissa omständigheter kan upphäva behovet av samtycke (11.2.6)

Alternativ definition  
Behörighet definieras i Rikstermbanken ""uppfyllande av formella krav"" (samt på många sätt knutet till hur man får tillgång till delar av IT-system). Bemyndigande förklaras i Rikstermbanken ""det att tilldela någon befogenhet"" (hämtat ur den svensk-albanska tolkordboken). I FVM har man valt termen ""bemyndigande"" eftersom det ofta rör sig om en tillfällig rätt att frångå samtyckeskravet, inte en ständig rätt att göra det. Lagen ska med andra ord tolkas i varje enskilt fall, inte ge en ständig behörighet.
",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1 3R Contsys ger definitionen ""bestämmelse i lagstiftning som under vissa omständigheter kan upphäva behovet av informerat samtycke"" vilket är en god översättning av definitionen i Contsys på originalspråket. Vilka omständigheter det rör sig är framgår i lagen, och ""under vissa omständigheter"" är inte bara onödigt utan gör definitionen oklar. Ordet ""kan"" gör att sambandet är osäkert. Det ska framgå i begreppsmodellen att bemyndigande enligt lag antingen föreligger (och då tar det över samtycke) eller inte (varvid samtycke krävs). Samtycke kan enligt Socialstyrelsens definition (se 6.5) bara ges efter information, varför ""informerat"" är ett onödigt ord. 

",,,
195,"vårdåtagande
",hälso- och sjukvårdsåtagande,,,,,,,,,,"acceptans av ett hälso- och sjukvårdsmandat (11.2) av den hälso- och sjukvårdsaktör (5.2) som tilldelas det

Alternativ definition   
beslut av mottagande vårdenhet att acceptera vårdbegäran (Socialstyrelsens termbank)
",,Klar,2019-12-10,Contsys SE,"Anmärkning 1   Beslutet fattas av hälso- och sjukvårdspersonal men binder normalt sett en vårdenhet till att handlägga.
Ett vårdåtagande kan leda till mycket kort handläggning av det som önskas i vårdbegäran. T.ex. kan egenvård rekommenderas, vilket är en ordination förenad med kliniskt ansvarstagande och som avslutar vårdåtagandet. En lång vårdprocess kan startas av vårdåtagandet. Inom radiologin används termen berättigandebedömning, vilket är en hälso- och sjukvårdstjänst som innefattar att endera
1)den begärda undersökningen initieras
2)beslut tas att genomföra en annan undersökning
3)att undersökningen avstås och remissen besvaras
Samtliga dessa alternativ innebär en klinisk bedömning under ansvar och görs inom ramen för ett vårdåtagande som i alternativ 3 avslutas med remissvaret. 

",,,
196,patientönskemål,,,,,,,,,,,önskemål som uttrycks av patienten (5.2.1) eller av patientens representant (5.2.4.3) angående utförande av vissa hälso- och sjukvårdsaktiviteter (7.2),,Klar,2019-12-10,Contsys SE,,,,
197,"vårdbegäran
",begäran om hälso- och sjukvård,,,,,,,,,,"begäran om utförande av hälso-och sjukvårdsutföraraktivitet (7.2.1) som uttrycks av en hälso- och sjukvårdsaktör (5.2)

Alternativ definition:
begäran om erhållande av hälso- och sjukvård (Socialstyrelsens termbank) ",,Klar,2019-12-10,"Contsys SE
I enlighet med resonemanget om vårdgivare/hälso- och sjukvårdsutförare är termen vårdgivaraktivitet ändrad till hälso-och sjukvårdsutföraraktivitet.","Vet ej vad detta är: 
I enlighet med resonemanget om vårdgivare/hälso- och sjukvårdsutförare är termen vårdgivaraktivitet ändrad till hälso-och sjukvårdsutföraraktivitet.

Anmärkning 1    
Detta är ett rotbegrepp som ska kunna instansieras. Normalt sett kommer emellertid den som utfärdar vårdbegäran att kunna identifieras, antingen patienten själv (vårdbegäran för egen räkning) eller hälso- och sjukvårdspersonal (remiss). Vem som utfärdar vårdbegäran framgår av specialiseringarna. Hälso- och sjukvård kan också utföras utan att vårdbegäran gjorts. En vårdbegäran ställs alltid till en hälso- och sjukvårdsorganisation. En förfrågan till hälso- och sjukvårdspersonal handläggs av mottagaren i dennes roll som anställd av en vårdgivare och vid en vårdenhet. I informationsmodellen visas med attribut exakt på vilken specialiseringsnivå av hälso- och sjukvårdsorganisation som mottagandet sker.

Anmärkning 2     
Bedömning av en vårdbegäran leder till endera av två beslut. Om vårdbegäran uppenbarligen hamnat fel (resurser saknas, vårdbegäran är feladresserad) är nästa steg hänvisning. Alternativet är att vårdbegäran accepteras, vilket leder till vårdåtagande. Därigenom tas ansvar för handläggning av det som begärs i vårdbegäran. Se vårdåtagande!",,,
198,begäran om initial vårdkontakt,,,,,,,,,,,första vårdbegäran (11.3) gällande en eller flera specifika hälso- och sjukvårdsangelägenheter (6.2) som ska bedömas av en hälso- och sjukvårdsutförare (5.2.3),,Klar,2019-12-10,Contsys SE ,Anmärkning 1  Vårdgivare utbytt mot hälso- och sjukvårdsutförare.,,,
199,"hänvisning
","Vårdhänvisning, överföringsremiss, begäran om övertagande av vårdansvar",,,,,,,,,,vårdbegäran (11.3) där en hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1) ber en hälso- och sjukvårdsutförare (5.2.3) att göra ett vårdåtagande (11.2.10) för ett mandat för vårdperiod (11.2.2),,Klar,2019-12-10,Contsys SE,,,Från Termforum,11.3.2
200,"remiss
","förfrågan om vårdgivaraktivitet, begäran om vårdgivaraktivitet",,,,,,,,,,vårdbegäran (11.3) där hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1) ber en hälso- och sjukvårdsutförare (5.2.3) att utföra en eller flera hälso-och sjukvårdsutföraraktiviteter (7.2.1),,Klar,2019-12-10,Contsys SE,"Alternativ definition     
vårdbegäran som utfärdas av hälso- och sjukvårdspersonal (FVM) handling som utgör beställning av tjänst eller begäran om övertagande av vårdansvar för en patient (Socialstyrelsens termbank)

Anmärkning 1      
Remiss är definierat i Socialstyrelsens termbank men förekommer i hälso- och sjukvårdslagen endast omnämnd som något man förutsätter att läsaren förstår. I NI förekommer termen inte, och i Contsys finns de två engelskspråkiga termerna referral, som översätts till svenska med remiss och betyder begäran om övertagande av vårdansvar, samt request, som betyder beställning av tjänst, något som enligt hävd i svensk hälso- och sjukvård görs med remiss. Request har i 3R Contsys översatts med ""begäran om utförande av vårdaktivitet"". Av Socialstyrelsens termbank framgår inte relationen till vårdbegäran, som vi bedömt väsentlig för att de båda begreppen ska kunna läggas till grund för en informationsmodell. Av det skälet ges en alternativ definition. I Contsys SE betyder remiss endast beställning av tjänst (se också hänvisning) 

Anmärkning 2     
Remiss är alltid en handling som kommuniceras vårdenheter emellan. Den remissmottagande vårdenheten kan kräva betalning för tjänsten eller vårdövertagandet. Detta förhållande har inte inkluderats i definitionen av remiss utan behandlas separat.",,Från Termforum,11.3.3
201,kontaktorsak,,,,,,,,,,,patientens (5.2.1) eller patientens representants (5.2.4.3) upplevelse av hälsobehov (6.5.3) som anges som motiv för en vårdbegäran (11.3),,Klar,2019-12-10,Contsys SE,,,Från Termforum,11.3.4
202,hälsojournal,"patientjournal, journal, dokumenterad hälso- och sjukvårdsdata",,,,,,,,,,"dataregister avseende en patients (5.26.1) hälsa (2.1) och hälso- och sjukvård (3.1.1)

Alternativ definition  
dokumentation om en patient som avser hälsa och hälso- och sjukvård (FVM)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1 
I Contsys finns begreppet journal som specialiseras som patientjournal (förd av hälso- och sjukvårdspersonal) och personlig journal som förs av andra än kliniker, i första hand patienten själv. I Socialstyrelsens termbank är begreppet journal begränsat till socialtjänsten, medan patientjournal är en samling av journalhandlingar. En journalhandling upprättas avseende en patients hälsa och behandling. I patientdatalagen (2008:355) sägs i 3 kap. 3 § att hälso- och sjukvårdspersonal (enligt termbankens definition) är skyldig föra patientjournal. Patientjournal stämmer därför med vad som beskrivs i 3R Contsys, medan termen journal bör undvikas i hälso- och sjukvården. Denna term ersätts därför i detta begreppssystem med hälsojournal, som kan upprättas av vem som helst men alltid avser en enda patient. ",,Från Termforum,12.2
203,professionell hälsojournal,,,,,,,,,,,"hälsojournal (12.2) som upprätthålls under ansvar av en hälso- och sjukvårdsutförare (5.2.3) och underhålls av en eller flera hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1)

Alternativ definition  
en eller flera journalhandling som rör samma patient (Socialstyrelsens termbank)",,Klar,2019-12-10,Contsys SE ,Anmärkning 1  Hälso- och sjukvårdspersonals skyldighet att föra patientjournal framgår i patientdatalagen (2008:355) 3 kap. 1 §.,,Från Termforum,12.2.1
204,personlig journal,,,,,,,,,,,"hälsojournal (12.2) som upprätthålls och underhålls av patienten (5.2.1) eller av patientens representant (5.2.4.3)

Alternativ definition  
hälsojournal som förs av en patient eller av en företrädare (3R Contsys reviderad)",,Klar,2019-12-10,Contsys SE,Anmärkning 1  Personlig journal är den neutrala termen i detta begreppssystem. E-hälsomyndigheten försöker lansera namnet Hälsa för mig för ett nationellt hälsokonto. Detta kan bli lagringsplats för personlig journal. Funktionen måste finnas och kan skapas i Kärnsystemet. Den nationella förvaltningen ifrågasätts av Datainspektionen. ,,Från Termforum,12.2.2
205,journalkomponent,,,,,,,,,,,del av en hälsojournal (12.2) som kan identifieras för att användas som referens eller för granskning,,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.2.3
206,elektronisk journalkomponent,,,,,,,,,,,journalkomponent (12.2.3) som endast inkluderar information (3.9.5) i elektroniskt format,,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.2.4
207,delbar informationsmängd,,,,,,,,,,,"dataregister (3.9.2) innehållande endast elektroniska journalutdrag (12.5.1), under tillsyn och ansvar av en hälso- och sjukvårdsaktör (5.2), tillgängliga för behöriga hälso- och sjukvårdsaktörer (5.2) oberoende av deras organisationstillhörighet",,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.3
208,sammanfattad hälso- och sjukvårdsinformation,patientöversikt,,,,,,,,,,dataregister (3.9.2) som innehåller sammanfattad information (3.9.5) för hälso- och sjukvårdssamordning och vårdkontinuitet (3.1.2),,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.4
209,journalutdrag,,,,,,,,,,,"del eller helhet av en hälsojournal (12.2) som extraherats i kommunikationssyfte

Alternativ definition 
utdrag innehållande hela eller delar av patientjournal (3R Contsys reviderad)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1 Contsys term journal har ändrats till patientjournal. 3R Contsys definierar ""utdrag avsedda för kommunikation innehållande hela eller delar av journal"". Vad utdraget ska användas till är inte väsentligt. 

Anmärkning 2  Utdrag ur patientjournalen kan utgöras av hela journalhandlingar eller delar av dem, en eller flera, som läggs samman för specifikt informationsbehov vid kommunikation av hälsojournalen. En hel patientjournal kan göras till journalutdrag.",,Från Termforum,12.5
210,elektroniskt journalutdrag,,,,,,,,,,,journalutdrag (12.5) som består av endast elektroniska journalkomponenter (12.2.4),,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.5.1
211,elektronisk patientöversikt,elektronisk patientsammanfattning,,,,,,,,,,elektroniskt journalutdrag (12.5.1) som innehåller grundläggande hälso- och sjukvårdsinformation (3.9.4) avsedd för specifika ändamål,,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.5.2
212,klinisk rapport,,,,,,,,,,,"journalutdrag (12.5) som förmedlar specifikt inriktad hälso- och sjukvårdsinformation (3.9.4) för att tillgodose mottagarens aktuella informationsbehov

Alternativ definition  
journalutdrag innehållande speciellt inriktad hälsovårdsinformation för att uppfylla mottagarens specifika informationsbehov (3R Contsys) ",,Klar,2019-12-10,Contsys SE ,"Exempel 1  Remissvar, intyg, utdrag för forskning, utdrag för tillsyn.",,Från Termforum,12.5.3
213,utskrivningsrapport,"epikris, slutanteckning",,,,,,,,,,"klinisk rapport (12.5.3) för en slutförd vårdperiod med mandat (10.2.1)

Alternativ definition  
epikris som upprättas när ett vårdtillfälle eller vårdepisod avslutas (FVM)
",,Klar,2019-12-10,Contsys SE ,Anmärkning 1  Den sammanfattning som ska skrivas när en patient skrivs ut från sjukhus ska inte kallas epikris utan slutanteckning. ,,Från Termforum,12.5.3.1
214,"utskrivningssammanfattning
",sammanfattande slutanteckning,,,,,,,,,,"utskrivningsrapport (12.5.3.1) som sammanfattar en vårdperiod med mandat (10.2.1)

Alternativ definition 
klinisk rapport som lämnas till patienten när ett vårdtillfälle avslutas och som innehåller information om patientens hälsotillstånd och vilka aktiviteter som utförts under vårdtid (FVM)",,Klar,2019-12-10,Contsys SE ,Anmärkning 1  Inom Västra Götalandsregionen är detta obligatorisk information till patienten.,,Från Termforum,12.5.3.2
215,icke validerad hälso- och sjukvårdsinformation,,,,,,,,,,,"hälso- och sjukvårdsinformation (3.9.4) vars relevans inte har bedömts och inte uttryckligen konstaterats vara tillförlitlig av en hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1)

Alternativ definition 
hälsojournal vars relevans inte har bedömts och angetts som giltig av hälso- och sjukvårdspersonal (3R Contsys reviderad) 
",,Klar,2019-12-10,Contsys SE,Anmärkning 1  Varje anteckning som patienten själv eller närstående/annan vårdare gör och som kan valideras av hälso- och sjukvårdspersonal som journalhandling.,,Från Termforum,12.5.3.3
216,hälso- och sjukvårdsinformation för import,,,,,,,,,,,hälso- och sjukvårdsinformation (3.9.4) som är möjlig att inkludera i en professionell hälsojournal (12.2.1) efter att en hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1) har bekräftat dess kliniska relevans för denna professionella hälsojournal (12.2.1),,Klar,2019-12-10,Contsys SE,,,Från Termforum,12.5.3.4
